,Cleaned_Agency_Name,Cleaned_Phone,Cleaned_City,State,Cat1,Cat2,Cat3,formatted_address,Latitude,Longitude
11,"Liberty House of Albany, Inc.",(229) 439-7094,Albany,GA,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence, Elder Abuse,",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","P.O. Box 2046, Albany, GA 31702, United States",31.58,-84.16
12,Freeborn County Crime Victims Crisis Center,507-373-2223,Albert Lea,MN,"Adult Sexual Assault, Adults Molested As Children, Aggravated Battery, Arson, Assault, Child Abduction, Child Physical Abuse, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Economic/Property Crime, Elder Abuse, Fraud, Gang Violence, Hate Crime, Human Trafficking, Identity Theft, Missing Persons, Non-Violent Crimes, Robbery, Stalking, Survivors Of Homicide , Terrorism, Victims With Disabilities, White Collar Crime","Civil Court, Corrections, Court, Government, Health Department, Hospital, Law Enforcement, Legal Aid, Mental Health, Probation, Prosecution, Public Housing, Sexual Assault Center, Social Services, Treasury, Victim Services Agency, Victims Service Centers","Assistance in Filing Compensation Claims, Criminal Justice Support Advocacy, Information And Referral , Personal Advocacy, Shelter/Safe House, Support Group(s)","411 S Broadway Ave, Albert Lea, MN 56007, United States",43.6459816,-93.3681003
13,Fairfax County Office for Women,(703) 704-6727,Alexandria,VA,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Mental Health,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","12000 Government Center Pkwy #339, Fairfax, VA 22035, United States",38.8540845,-77.3565793
14,Alexandria SARA,(703) 746-3122,Alexandria,VA,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Non-Other,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","803 Franklin St, Alexandria, VA 22314, United States",38.7985499,-77.0498351
15,City of Alexandria,(703) 746-4100,Alexandria,VA,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Prosecution,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","Alexandria, VA, USA",38.8048355,-77.0469214
16,Violence Intervention Project,(920) 487-2111,Algoma,WI,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence, Elder Abuse,",Rape Crisis,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","1405 Division St, Algoma, WI 54201, United States",44.6000666,-87.4453791
17,Turning Point of Lehigh Valley Inc,(610) 797-0530,Allentown,PA,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","444 E Susquehanna St, Allentown, PA 18103, United States",40.5909634,-75.4431669
18,COMMUNITY SERVICES OF STARK COUNTY,(330) 821-8407,ALLIANCE,OH,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse,",Rape Crisis,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","625 Cleveland Ave NW, Canton, OH 44702, United States",40.8032699,-81.3752369
19,"Family Crisis Center of the Big Bend, Inc.",(432) 837-8258,Alpine,TX,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Elder Abuse, Survivors of Homicide Victims",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","606 N 5th St, Alpine, TX 79830, United States",30.3623983,-103.6630974
20,SOUTHWEST OKLAHOMA COMMUNITY ACTION GROUP,(580) 482-5040,ALTUS,OK,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Survivors of Homicide Victims",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","900 S Carver Rd, Altus, OK 73521, United States",34.62965,-99.350828
21,"Family Support Services of Amarillo, Inc.",(806) 342-2528,Amarillo,TX,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence, Elder Abuse,",Rape Crisis,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","1001 S Polk St, Amarillo, TX 79101, United States",35.2033387,-101.8376559
22,Arrow Child and Family Ministries,(806) 335-9138,Amarillo,TX,"Adults Molested as Children, Child Sexual Abuse, Domestic Violence,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Therapy","4655 S Farm to Market Rd 1258, Amarillo, TX 79118, United States",35.1636065,-101.7058648
23,CATHOLIC CHARITIES OF FULTON AND MONTGOMERY COUNTIES,(518) 842-3489,AMSTERDAM,NY,"Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Survivors of Homicide Victims",Religious Organization,"Assistance in Filing Compensation Claims, Crisis Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","1 Kimball St, Amsterdam, NY 12010, United States",42.9401978,-74.1928278
24,Madison County Sheriff's Department,(765) 646-4078,Anderson,IN,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Law Enforcement,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","720 Central Ave, Anderson, IN 46016, United States",40.1083424,-85.676595
25,Madison County Sheriff's Department,(765) 646-4078,Anderson,IN,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Law Enforcement,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","16 E 9th St #305, Anderson, IN 46016, United States",40.1075029,-85.6787213
26,The Women's Center of America,734-973-6779,Ann Arbor,MI,"Adult Sexual Assault, Adults Molested As Children, Assault, Child Physical Abuse, Child Sexual Abuse, Domestic Violence, Stalking, Survivors Of Homicide",Mental Health Agency,"Crisis Prevention, Direct Clinical Services, Information And Referral , Safety Plans (DV), Therapy","1100 Victors Way #10, Ann Arbor, MI 48108, United States",42.2394045,-83.7332784
27,"AVAIL, Inc.",(715) 623-5177,Antigo,WI,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence, Elder Abuse,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","1410 N Superior St, Antigo, WI 56409, United States",45.1504176,-89.1522084
28,Appomattox County,(434) 352-7791,Appomattox,VA,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","Appomattox County, VA, USA",37.402489,-78.792953
29,FAMILY SHELTER OF SOUTHERN OKLA.,(580) 226-3750,ARDMORE,OK,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","402 Pawnee NW, Ardmore, OK 73401, United States",34.1807206,-97.1533127
30,HOGAR ABRAZO DE AMOR,(787) 878-7528,ARECIBO,PR,"Child Sexual Abuse, Domestic Violence, Survivors of Homicide Victims",Hospital,"Assistance in Filing Compensation Claims, Crisis Counseling, Followup Contact, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","Guayabota, Arecibo 00612, Puerto Rico",18.4083132,-66.7471558
31,HOGAR INFANTIL SANTA TERESITA DEL NINO JESUS INC.,(787) 817-6651,ARECIBO,PR,"Child Sexual Abuse,",Shelter,"Assistance in Filing Compensation Claims, Crisis Counseling, Followup Contact, Shelter/Safe House, Therapy","Carr. 492 Km. 4.4 Bo, Hato Abajo, 00612, Puerto Rico",18.4445612,-66.737769
32,HOGAR SANTA MARIA EUFRASIA INC.,(787) 878-5166,ARECIBO,PR,"Child Sexual Abuse, Domestic Violence,",Shelter,"Assistance in Filing Compensation Claims, Crisis Counseling, Followup Contact, Shelter/Safe House, Therapy","Arecibo, 00612, Puerto Rico",18.4528424,-66.7464487
33,Arlington County,(703) 228-3358,Arlington,VA,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Prosecution,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","Arlington County, Arlington, VA, USA",38.8799697,-77.1067698
34,Arlington County's C'wealth's Attroney Ofc.,(703) 228-7126,Arlington,VA,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Prosecution,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","1425 N Courthouse Rd # 5200, Arlington, VA 22201, United States",38.889881,-77.0831772
35,Doorways for Women and Families,(703) 522-8858,Arlington,VA,"Assault, Child Sexual Abuse, Domestic Violence,",Shelter,"Assistance in Filing Compensation Claims, Crisis Counseling, Followup Contact, Shelter/Safe House, Therapy","4600 Fairfax Dr, Arlington, VA 22203, United States",38.8810499,-77.1171
36,YWCA of Annapolis and Anne Arundel County,(410) 626-7800,Arnold,MD,"Adult Sexual Assault, Child Sexual Abuse, Domestic Violence,",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Therapy","1517 Ritchie Hwy #201, Arnold, MD 21012, United States",39.0270834,-76.5009128
37,Grammy's House,(505) 748-1198,Artesia,NM,"Adult Sexual Assault, Child Sexual Abuse, Domestic Violence,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","811 W Texas Ave, Artesia, NM 88210, United States",32.8431536,-104.4070566
38,Hanover Safe Place,(804) 752-2728,Ashland,VA,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","629A N Washington Hwy, Ashland, VA 23005, United States",37.7714795,-77.4678922
39,Appleseed Community Mental Health Center,(419) 282-6097,ASHLAND,OH,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence, Elder Abuse,",Rape Crisis,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","2233 Rocky Ln, Ashland, OH 44805, United States",40.8921999,-82.320148
40,"Safe Harbor of Northeast Kentucky, Inc.",(606) 239-9304,Ashland,KY,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Elder Abuse, Robbery, Survivors of Homicide Victims",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","2000 Carter Ave suite d, Ashland, KY 41101, United States",38.4751189,-82.6356409
41,"Northwoods Women, Inc. dba New Day Shelter",(715) 682-9566,Ashland,WI,"Adult Sexual Assault, Child Sexual Abuse, Domestic Violence,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","301 Ellis Ave S, Ashland, WI 54806, United States",46.5900173,-90.8829143
42,RESPONSE,(970) 920-3032,ASPEN,CO,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Elder Abuse,",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Emergency Financial Assistance, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","0405 Castle Creek Rd, Aspen, CO 81611, United States",39.1898319,-106.8376243
43,Clatsop County Women's Resource Center,(503) 325-4962,Astoria,OR,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence, Elder Abuse,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","801 Commercial St, Astoria, OR 97103, United States",46.1889213,-123.8344951
44,"The Harbor, Inc.",(503) 325-4962,Astoria,OR,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence, Elder Abuse,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","422 Gateway Ave STE 100, Astoria, OR 97103, United States",46.1869811,-123.8582159
45,"HOPE Center, Inc.",(423) 744-0599,Athens,TN,"Adult Sexual Assault, Child Sexual Abuse, Domestic Violence,",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","704 W Madison Ave, Athens, TN 37303, United States",35.4394002,-84.6027318
46,"Georgia Cares, Inc.",(770) 876-1581,Atlanta,GA,"Child Sexual Abuse,",NA,"Assistance in Filing Compensation Claims, Crisis Counseling, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House,","2 Peachtree St, Atlanta, GA 30303, United States",33.7541582,-84.3905886
47,"Georgia Cares, Inc.",(770) 876-1581,Atlanta,GA,"Child Sexual Abuse,",NA,"Assistance in Filing Compensation Claims, Crisis Counseling, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House,","1950 Spectrum Cir STE 200, Marietta, GA 30067, United States",33.9058112,-84.467329
48,Family Crisis Support Network,(712) 243-6615,Atlantic,IA,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence, Elder Abuse,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","105 E Coolbaugh St # 32, Red Oak, IA 51566, United States",41.0086791,-95.2319695
49,"New Hope, Inc",508-226-4015,Attleboro,MA,"Adult Sexual Assault, Child Physical Abuse, Child Sexual Abuse, Domestic Violence","Rape Crisis, Victim Services Agency","Cell Phones (911), Criminal Justice Support Advocacy, Crisis Hotline Counseling, Direct Clinical Services, Group Therapy, Information And Referral , Safety Plans (DV), Shelter/Safe House, Supervised Visitation, Support Group(s), Telephone Contacts","247 Maple St, Attleboro, MA 02703, United States",41.9359244,-71.2640807
50,Project Response,(402) 274-5092,AUBURN,NE,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence, Elder Abuse,",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","908 13th St, Auburn, NE 68305, United States",40.3919267,-95.8378207
51,Rape Crisis and Sexual Assault Services,706-724-5200,Augusta,GA,"Adult Sexual Assault, Adults Molested As Children, Child Sexual Abuse","Hospital, Sexual Assault Center","Assistance in Filing Compensation Claims, Criminal Justice Support Advocacy, Crisis Counseling, Crisis Hotline Counseling, Crisis Prevention, Direct Clinical Services, Follow-up Contact, Group Therapy, Information And Referral , Personal Advocacy, Support Group(s), Telephone Contacts , Therapy","521 S Liberty St, Waynesboro, GA 30830, United States",33.0878139,-82.0146999
52,Augusta/Richmond County,(706) 821-2400,Augusta,GA,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Prosecution,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Emergency Financial Assistance, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","Augusta, GA, USA",33.4734978,-82.0105148
53,ASIAN PACIFIC DEVELOPMENT CENTER,(303) 393-0304,AURORA,CO,"Adult Sexual Assault, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","1537 Alton St, Aurora, CO 80010, United States",39.74124,-104.8824506
54,Refugee Services of Texas,512-472-9472,Austin,TX,Human Trafficking,NA,"Assistance in Filing Compensation Claims, Criminal Justice Support Advocacy, Crisis Counseling, Direct Clinical Services, Emergency Financial Assistance, Emergency Legal Advocacy, Information And Referral , Personal Advocacy, Shelter/Safe House, Therapy, Transportation","500 E St Johns Ave #1.280, Austin, TX 78752, United States",30.3345882,-97.7063914
55,"Texas CASA, Inc.",(512) 473-2627,Austin,TX,"Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Survivors of Homicide Victims",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","1501 W Anderson Ln # B2, Austin, TX 78757, United States",30.3511746,-97.7221656
56,Texas Department of Public Safety,512-424-2211,Austin,TX,"Adult Sexual Assault, Adults Molested As Children, Aggravated Battery, Arson, Assault, Child Abduction, Child Physical Abuse, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Economic/Property Crime, Elder Abuse, Fraud, Gang Violence, Hate Crime, Human Trafficking, Identity Theft, Missing Persons, Non-Violent Crimes, Robbery, Stalking, Survivors Of Homicide , Terrorism, Victims With Disabilities, White Collar Crime",Law Enforcement,"Assistance in Filing Compensation Claims, Criminal Justice Support Advocacy, Direct Clinical Services, Follow-up Contact, Identity Theft Counseling , Information And Referral , Personal Advocacy, Safety Plans (DV), Telephone Contacts , Therapy","5805 N Lamar Blvd, Austin, TX 78752, United States",30.3271377,-97.7225758
