Name,Specific To Trafficking?,Service Type 1,Service Type 2,Service Type 3,Phone,Emergency Hotline,Website,Email,Address,City,State,Zip Code,Full Address,Lat,Lon,Victim Profile,Bed Capacity,Hours of Operation,Free/Discounted Medical Service? Y/N (Optional),Free/Discounted Housing Service? Y/N (Optional),Free/Discounted Legal Service? Y/N (Optional),Free/Discounted Counseling Service? Y/N (Optional),Free Food Distribution? Y/N (Optional),Notes,Description,International/Domestic
Child Welfare Services San Luis Obispo County ,No,Referral,,,(805) 781-5437,,https://www.slocounty.ca.gov/Departments/Social-Services/Child-Welfare-Services-(CWS).aspx,,3433 South Higuera,San Luis Obispo,CA,93401,3433 South HigueraSan Luis ObispoCA93401,35.2536998,-120.6686551,Youth,County has shelter beds place in shelter/ has to be foster child ,"8-5 Monday to Friday , after hours for other times ",Y,Y,Y,Y,Y,Child has to be take into foster care to qualify for all this.,"""Child Welfare Services offer a broad variety of services and programs developed to protect the children and youth of our community from abuse, neglect, or exploitation by their parent(s) or caregiver(s).""",Unspecified
Community Action Partners of San Luis Obispo (CAP-SLO),No,Shelter,Legal,Referral,(805) 544-4355,,https://capslo.org/,,1030 Southwood Drive,San Luis Obispo,CA,93401,1030 Southwood DriveSan Luis ObispoCA93401,35.2663584,-120.6425974,Low-income individuals,,,,Y,Y,,,"1. Collaborate with Victim/Witness to help victims access and exercise their legal rights. 2. Resources for teen’s website:   theslodown.org. 3. Homeless Services – emergency shelter, assistance in finding permanent housing 4.Family Support Services – Strengthen and support families 5.To help prevent child abuse and neglect.","""Community Action Partnership of San Luis Obispo County addresses the causes of poverty, empowering low-income people to achieve self-sufficiency through community-based collaborations and programs.""",Unspecified
Dignity Health  ,Yes,Medical,Shelter,,(805) 543-5353,,https://www.dignityhealth.org/hello-humankindness/human-trafficking,,1911 Johnson Ave,San Luis Obispo,CA,93401,1911 Johnson AveSan Luis ObispoCA93401,35.278037,-120.6509014,Human trafficking victims,,24/7,Y,Y,,,,Provides short time (hours) housing for Human Trafficking Victims,"""With support from Dignity Health Foundation, Dignity Health has taken a stand to change this reality by creating the Human Trafficking Response (HTR) Program. The goal of this program is to ensure trafficked persons are identified in the health care setting and appropriately assisted with trauma-informed care and services.""",Both
ALPHA Pregnancy & Parenting Support,No,Referral,,,(805) 541-3367,,https://ppsslo.org/about/,info@ppsslo.org,"11549 Los Osos Valley Rd., Ste. 104",San Luis Obispo,CA,93405,"11549 Los Osos Valley Rd., Ste. 104San Luis ObispoCA93405",35.2576597,-120.6920653,Pregnant and parenting families,,,,,,,,"Pregnancy and Parenting Support of San Luis Obispo County provides San Luis Obispo families with emotional support, practical assistance and connections to community resources from pregnancy through a child’s second year. Refers to housing, financial, legal, food","""PPSSLO’s free services include classes and support groups as well as necessary items for pregnancy and early child care. We are actively involved in community public health initiatives supporting education on healthy pregnancies.""",Both
Community Counseling Center,No,Counseling,Education,,(805) 543-7969,,https://www.cccslo.org/,director@cccslo.com,1129 Marsh Street,San Luis Obispo,CA,93405,1129 Marsh StreetSan Luis ObispoCA93405,35.2813453,-120.6580294,General,,,,,,Y,,"Our volunteer counselors see children, adolescents, and adults of all ages with a variety of problems including: anxiety, depression, eating disorders, marital and family issues, parenting, gay/lesbian issues, anger, grief, phobias, stress, and transitional issues that can be helped by short-term counseling. We do not have a walk-in clinic for emergency situations nor do we address chronic mental health problems.","""The Central Coast is a community where all members have access to qualified counseling, therapists are nurtured across their professional development and society is united in the effort to promote positive mental health.""",Unspecified
Freedom Calling,Yes,Shelter,Counseling,Education,(808) 990-9246,,https://www.freedomcalling.org/,info@freedomcalling.org,"1052 E Grand Ave, Ste D",Arroyo Grande,CA,93420,"1052 E Grand Ave, Ste DArroyo GrandeCA93420",35.1198659,-120.594863,Human trafficking victims,,Mon-Fri 9am-4pm,,Y,Y,,Y,"Becs Chapman is the resource, Her Haven within Freedom House is a Residential Housing Program for women leaving the commercial sex trade providing a safe refuge and recovery, along with a supportive community, and the tools needed to rebuild their lives outside the industry. Other educational and counesling services are offered","""Anti trafficking initiative, providing services for victims of human trafficking and engaging with schools and the community in preventative efforts.""",Unspecified
Home for Hope Ministry,Yes,Shelter,Medical,,(805) 539-8140,,https://home4hope-slo.org/,Home4Hope.slo@gmail.com,30 Quail Ridge,Atascadero,CA,93422,30 Quail RidgeAtascaderoCA93422,35.488609,-120.662354,Sex trafficking victims,,,,,,,,Merged with Freedom Calling,"""Our vision is to give survivors a protective environment that offers a therapeutic program designed specifically to address their trauma. This will provide stability to address and heal the trauma of sex trafficking and build skills that will allow them to grow into an effective and powerful contributor to society.""",Both
San Luis Obispo Health Agency,No,Referral,Counseling,,(1800) 838-1381,(800) 783-0607,https://www.slocounty.ca.gov/Departments/Health-Agency/Behavioral-Health.aspx,,2180 Johnson Ave,San Luis Obispo,CA,93401,2180 Johnson AveSan Luis ObispoCA93401,35.274897,-120.646177,General,,(24 hours/7 days a week),,,,Y,,"We offer mental health treatment services for our county’s youth, adults, and senior citizens and help with family, personal, or psychiatric issues. We have clinics located in the North County, South County, and in San Luis Obispo.","""Behavioral Health Department is part of the Health Agency and works in collaboration with the community to provide services necessary to improve and maintain the health and safety of individuals and families affected by mental illness and/or substance abuse.""",Unspecified
Shelter and Rain Inc.,Yes,Shelter,Counseling,,(785) 380-3012,,www.shelterandrain.org,shelterandrain@gmail.com,P.O. Box 1236,Pismo Beach,CA,93448,P.O. Box 1236Pismo BeachCA93448,35.1427533,-120.6412827,Human trafficking victims,,,,,,,,"Freedom, protection, and restoration for men, women, and children affected by human trafficking and commercial sexual exploitation. Aka Housing, Counseling, Go bags ( in order to quickly leave abuser),  -- Mentoring, -- Strip Club Outreach (Wichita, KS), -- Trauma Informed Care Training","""We are dedicated to seeing individuals set free from sexual exploitation and human trafficking on a local and global scale.""",Both
Suspected Abuse Response Team (SART),No,Medical,,,(805) 781-4878,,https://www.slocounty.ca.gov/Departments/Health-Agency/Public-Health/All-Public-Health-Services/Suspected-Abuse-Response-Team-(SART).aspx,,2180 Johnson Avenue,San Luis Obispo,CA,93401,2180 Johnson AvenueSan Luis ObispoCA93401,35.2750952,-120.6463692,Sexual assault and domestic violence victims,,After hours call dispatch (805) 781-4550,,,,,,Provides a comprehensive exam and evaluates the Victim’s medical needs (if victim has severe injuries or strangulation they must been seen at a hospital),"""The Suspected Abuse Response Team (SART) is a victim-sensitive program providing immediate and compassionate forensic medical examinations for victims of sexual assault and domestic violence. SART examinations are available with or without law enforcement involvement.""",Both
"Victim Witness Assistance Center, San Luis Obispo County",No,Legal,,,(805) 781-5821,,https://www.slocounty.ca.gov/Departments/District-Attorney/Victim-Witness-Assistance-Center.aspx,,"1035 Palm Street, Room 385",San Luis Obispo,CA,93408,"1035 Palm Street, Room 385San Luis ObispoCA93408",35.282895,-120.6612513,Victims affected by crime,,,,,,,,"The San Luis Obispo County Victim/Witness Assistance Program works to  reduce the trauma, frustration and inconvenience experienced by victims,  witnesses, and family members affected by crime. We do this by providing a wide  variety of services to victims of crime and their families, in addition to supporting  victims and witnesses throughout the criminal justice process. Informs victims of  their constitutional and statutory rights under California law, and how to exercise  those rights.","""The San Luis Obispo County Victim Witness Assistance Center works to reduce the trauma, frustration and inconvenience experienced by victims, witnesses, and family members affected by crime.""",Both
Kern Coalition Against Human Trafficking,Yes,Education,,,(661) 772-7215,,http://kcaht.org/,,"5405 Stockdale St Highway, Suite 200",Bakersfield,CA,93309,"5405 Stockdale St Highway, Suite 200BakersfieldCA93309",35.35423,-119.05459,Human trafficking victims,,,,,,,,"training for Law Enforcement, Health Care Providers, service providers","""Kern Coalition Against Human Trafficking (KCAHT) is a grassroots coalition that was created to facilitate a comprehensive approach to combat human trafficking in Kern County through prevention, protection, prosecution and partnerships.""",Both
Coalition to Abolish Slavery and Trafficking,Yes,Shelter,Legal,Counseling,(213) 365-1906,(888) 539-2373,https://www.castla.org/,info@castla.org,"3751 West 6th Street, #70308",Los Angeles,CA,90070,"3751 West 6th Street, #70308Los AngelesCA90070",34.06382,-118.30451,Human trafficking victims,10,,Y,Y,Y,Y,Y,"CAST's client services programs offer support all along the continuum of a human trafficking survivor’s journey, including: emergency response, counseling and skills training, shelter, legal advocacy and survivor leadership.","""The Coalition to Abolish Slavery and Trafficking (CAST) is a Los Angeles–based nonprofit organization that is working to put an end to modern slavery and human trafficking through comprehensive, life-transforming services to survivors and a platform to advocate for groundbreaking policies and legislation.""",Both
